buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
2500.0,50.0,100.0,0.0,157.05927265932553,5000,2500.0,49.3407564163208
2550.0,51.0,100.0,0.0,147.93084646003933,5100,2550.0,50.01674842834473
2600.0,52.0,100.0,0.0,157.11681204100324,5200,2600.0,50.653217792510986
2650.0,53.0,100.0,0.0,160.40078167724073,5300,2650.0,51.27665638923645
2700.0,54.0,100.0,0.0,147.98209948587532,5400,2700.0,51.9524142742157
2750.0,55.0,100.0,0.0,146.656703778077,5500,2750.0,52.634278774261475
2800.0,56.0,100.0,0.0,155.22794166901983,5600,2800.0,53.27849316596985
2850.0,57.0,100.0,0.0,143.26624036037353,5700,2850.0,53.976494550704956
2900.0,58.0,100.0,0.0,146.54883978348403,5800,2900.0,54.65886092185974
2950.0,59.0,100.0,0.0,145.31671655142762,5900,2950.0,55.34701323509216
3000.0,60.0,100.0,0.0,149.69948062256765,6000,3000.0,56.015018701553345
3050.0,61.0,100.0,0.0,16.984341402146487,6100,3050.0,61.90279507637024
3100.0,62.0,100.0,0.0,149.1237039728596,6200,3100.0,62.57337927818298
3150.0,63.0,100.0,0.0,160.20062967957995,6300,3150.0,63.19759702682495
3200.0,64.0,100.0,0.0,144.80633814973422,6400,3200.0,63.888174533843994
3250.0,65.0,100.0,0.0,161.69021490441347,6500,3250.0,64.50664114952087
3300.0,66.0,100.0,0.0,150.27008319429402,6600,3300.0,65.17210984230042
3350.0,67.0,100.0,0.0,146.5896095980227,6700,3350.0,65.85428667068481
3400.0,68.0,100.0,0.0,150.63631508649468,6800,3400.0,66.51813769340515
3450.0,69.0,100.0,0.0,161.2448398855606,6900,3450.0,67.1383125782013
3500.0,70.0,100.0,0.0,156.82590034686896,7000,3500.0,67.77596282958984
3550.0,71.0,100.0,0.0,151.84314588664864,7100,3550.0,68.43453741073608
3600.0,72.0,100.0,0.0,152.09963145528926,7200,3600.0,69.09200119972229
3650.0,73.0,100.0,0.0,144.75900959433486,7300,3650.0,69.78280448913574
3700.0,74.0,100.0,0.0,142.5902632255292,7400,3700.0,70.48411464691162
3750.0,75.0,100.0,0.0,150.7625826770748,7500,3750.0,71.14740943908691
3800.0,76.0,100.0,0.0,149.82573393749854,7600,3800.0,71.81485176086426
3850.0,77.0,100.0,0.0,157.9139698554518,7700,3850.0,72.44810795783997
3900.0,78.0,100.0,0.0,155.98813029011168,7800,3900.0,73.08918261528015
